Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N1026,3201033.25,515,3695430,0
N304,2803387.125,441,3249691,0
N360,2072449.125,351,2432727,0
N172,3231420.75,501,3630539,0
N887,2792286.875,449,3243637,0
N371,2738109.25,449,3186358,0
N194,3395216.625,543,3860750,0
N195,2460381.875,397,2868603,0
N196,2256772.125,350,2577191,0
N1000,3226049.75,508,3724671,0
N191,3303108.375,519,3810753,0
N553,3025208.375,490,3501254,0
N745,3540029.875,551,3980487,0
N901,3170135.0,508,3662366,0
N216,3316116.875,521,3825324,0
N301,3148168.625,492,3548535,0
N617,3031596.875,471,3410078,0
N670,3232405.625,518,3689126,0
N813,2351871.625,377,2657895,0
N280,2304580.625,355,2589917,0
N740,3126862.375,506,3615023,0
N565,3031481.5,491,3508607,0
N606,3463855.875,538,3895662,0
N23,2756733.875,443,3208589,0
N520,3477183.625,549,4009480,0
N966,2456290.125,394,2822457,0
N787,2879981.875,470,3344846,0
N24,2768759.625,432,3208676,0
N234,3197937.875,513,3651364,0
N87,2669496.75,429,3010748,0
N704,3078411.25,479,3462282,0
N1034,3674892.125,577,4228463,0
N259,2303468.25,354,2588641,0
N544,3486024.75,558,3966794,0
N685,3567386.875,564,4111031,0
N1038,3145449.125,498,3533657,0
N551,2727674.5,422,3075348,0
N925,3211800.125,500,3619536,0
N924,3147088.5,485,3537873,0
N729,1930569.75,330,2283635,0
N926,3206502.75,502,3704067,0
N101,2809313.5,441,3254704,0
N537,3513107.5,550,3997593,0
N334,2936269.375,463,3399206,0
N313,3828042.125,596,4348921,0
N587,3978205.625,622,4520785,0
N699,3075185.375,479,3458732,0
N314,2866135.5,444,3221048,0
N144,2740929.375,437,3078701,0
N804,3145483.125,505,3635483,0
N782,3079528.875,486,3462689,0
N293,2766960.75,439,3220164,0
N71,2731958.875,419,3068444,0
N72,3199163.25,509,3705849,0
N656,3113448.75,494,3601111,0
N906,2186303.375,355,2507803,0
N50,3138164.0,492,3537783,0
N703,2745917.5,429,3096503,0
N251,2804186.0,445,3150944,0
N417,2438792.375,395,2781665,0
N647,2738514.125,425,3087983,0
N860,3131054.25,482,3520324,0
N780,3169629.125,496,3663848,0
N981,2806856.375,455,3263397,0
N863,3630375.75,567,4180533,0
N519,2724109.875,423,3071075,0
N453,3214295.375,513,3722009,0
N826,3198810.125,499,3604641,0
