Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N20,0,4908.5,0,18,0,3918,0,0
N140,0,12070.5,0,78,0,7458,0,0
N80,0,12070.5,0,78,0,7458,0,0
N71,0,12070.5,0,78,0,7458,0,0
N123,0,12070.5,0,78,0,7458,0,0
N146,0,12070.5,0,78,0,7458,0,0
N124,0,12070.5,0,78,0,7458,0,0
N75,0,12070.5,0,78,0,7458,0,0
N147,0,4908.5,0,18,0,3918,0,0
N91,0,4908.5,0,18,0,3918,0,0
N126,0,12070.5,0,78,0,7458,0,0
N43,0,12070.5,0,78,0,7458,0,0
N82,0,4908.5,0,18,0,3918,0,0
N90,0,12070.5,0,78,0,7458,0,0
N37,0,12070.5,0,78,0,7458,0,0
N107,0,4908.5,0,18,0,3918,0,0
N112,0,12070.5,0,78,0,7458,0,0
N114,0,4908.5,0,18,0,3918,0,0
N134,0,12070.5,0,78,0,7458,0,0
N54,0,12070.5,0,78,0,7458,0,0
N79,0,4908.5,0,18,0,3918,0,0
N40,0,12070.5,0,78,0,7458,0,0
N121,0,12070.5,0,78,0,7458,0,0
N48,0,4908.5,0,18,0,3918,0,0
N102,0,12070.5,0,78,0,7458,0,0
N35,0,12070.5,0,78,0,7458,0,0
N77,0,4908.5,0,18,0,3918,0,0
N152,0,4908.5,0,18,0,3918,0,0
N138,0,12070.5,0,78,0,7458,0,0
N16,0,12070.5,0,78,0,7458,0,0
N57,0,4908.5,0,18,0,3918,0,0
N100,0,4908.5,0,18,0,3918,0,0
N19,0,4908.5,0,18,0,3918,0,0
N137,0,4908.5,0,18,0,3918,0,0
N92,0,12070.5,0,78,0,7458,0,0
N17,0,4908.5,0,18,0,3918,0,0
N95,0,4908.5,0,18,0,3918,0,0
N93,0,4908.5,0,18,0,3918,0,0
N38,0,4908.5,0,18,0,3918,0,0
N81,0,4908.5,0,18,0,3918,0,0
N113,0,4908.5,0,18,0,3918,0,0
N56,0,12070.5,0,78,0,7458,0,0
N7,0,12070.5,0,78,0,7458,0,0
N151,0,12070.5,0,78,0,7458,0,0
N66,0,12070.5,0,78,0,7458,0,0
N8,0,4908.5,0,18,0,3918,0,0
N89,0,12070.5,0,78,0,7458,0,0
N74,0,4908.5,0,18,0,3918,0,0
N65,0,4908.5,0,18,0,3918,0,0
N127,0,12070.5,0,78,0,7458,0,0
N129,0,4908.5,0,18,0,3918,0,0
N106,0,4908.5,0,18,0,3918,0,0
N12,0,4908.5,0,18,0,3918,0,0
N42,0,12070.5,0,78,0,7458,0,0
N39,0,4908.5,0,18,0,3918,0,0
N133,0,12070.5,0,78,0,7458,0,0
N78,0,4908.5,0,18,0,3918,0,0
N135,0,4908.5,0,18,0,3918,0,0
N64,0,12070.5,0,78,0,7458,0,0
N105,0,12070.5,0,78,0,7458,0,0
N88,0,12070.5,0,78,0,7458,0,0
N141,0,4908.5,0,18,0,3918,0,0
N10,0,4908.5,0,18,0,3918,0,0
N104,0,4908.5,0,18,0,3918,0,0
N122,0,4908.5,0,18,0,3918,0,0
N11,0,4908.5,0,18,0,3918,0,0
N97,0,12070.5,0,78,0,7458,0,0
N18,0,12070.5,0,78,0,7458,0,0
N73,0,12070.5,0,78,0,7458,0,0
N136,0,12070.5,0,78,0,7458,0,0
N99,0,4908.5,0,18,0,3918,0,0
N115,0,4908.5,0,18,0,3918,0,0
N96,0,4908.5,0,18,0,3918,0,0
N128,0,12070.5,0,78,0,7458,0,0
N103,0,4908.5,0,18,0,3918,0,0
