Part#,+--,Seeds,--+,+-,Gold label,-+,Total unique,Nodes in
 ,L1,L2,Total,L1gold,L2gold,Totalgold,nodes,Graph
1,13,13,16,0,3,3,16,16
2,2176,2163,2225,92,18,110,2317,2388
3,143,143,153,52,4,56,153,153
4,20,20,26,8,1,9,26,26
6,298,298,302,0,5,5,302,302
7,220,220,231,90,3,93,231,231
8,619,619,628,4,6,10,628,628
9,535,535,583,11,12,23,583,583
11,302,302,308,2,6,8,308,308
13,70,70,71,0,11,11,71,71
14,29,28,31,0,4,4,34,31
15,3057,3057,3141,15,375,390,3141,3141
16,70,70,71,0,2,2,71,71
17,201,201,209,21,2,23,209,209
19,348,348,371,5,5,10,371,371
20,857,857,889,6,450,456,889,889
21,52,52,58,2,2,4,58,58
23,3022,3035,3077,192,17,209,3149,3077
25,81,81,82,0,6,6,82,82
26,2529,2529,2583,60,8,68,2583,2583
27,40,40,42,0,2,2,42,42
28,34,34,43,4,3,7,43,43
29,3164,3164,3181,4,18,22,3181,3181
30,160,160,170,3,5,8,170,170
